source_id,r_est,r_lo,r_hi
2078403295235690112,41.2315213779136,41.0921558133897,41.3718185719601
2079990268465009024,50.6145097045851,50.1993792798511,51.0364389381494
2104485016711846656,81.4820221791748,80.9011996865216,82.0710941761192
2077737571001053312,172.612235076612,169.44660100199,175.896210554269
2077959092540451456,194.251074278231,187.684456735487,201.285145272043
2073537612700605696,347.305675377642,335.171242466141,360.335028693868
2086614688589352320,306.448333808759,296.81195252011,316.719517500094
2126062687590513408,133.050386252205,132.342616816959,133.765630523913
2073743839843579776,1044.67154927546,949.069840098863,1161.2897500675
2078059800932315008,475.24965419503,444.587185040426,510.372799343944
2085224321778525696,125.209706240164,119.532004003839,131.443485315475
2086465429887466368,1000.59195813143,929.527357944185,1083.18037747765
2132637359106746880,135.781052264769,135.436014792611,136.127820881179
2078199335828818432,263.520357880193,259.743780614521,267.406354699426
2073542697941496320,683.780027738135,671.831670059581,696.153187678767
2104983267278926336,397.768583985094,391.155241009599,404.60524595333
2103815448491466496,288.920092314708,276.921626546759,301.985143696241
2104876786449045504,238.859931683634,237.414734265016,240.322514135349
2101000011531700480,144.177549392428,143.56274973472,144.797542935112
2130848621187317632,499.205444274563,492.176512928057,506.434340126648
2103449001881575680,345.122761295331,339.701603163104,350.716550663015
2051085757046109184,228.947406103003,227.244443422525,230.675623635301
2104376989694932608,333.277296742273,327.620809937238,339.128911434264
2086460069767734656,1114.03334931676,1050.99966783608,1184.94930805615
2051905889641367296,571.068575235021,553.906220097299,589.308112346743
2135282371768942464,243.244322468437,241.484870223846,245.029137876086
2126627291112264192,160.658224300939,159.850128141858,161.474385501526
2076072811625087104,409.438714486725,405.698943080476,413.246821423302
2099498216086406784,317.698730870293,315.039066486667,320.402870323602
2100218568000743680,298.632765424639,294.843324577633,302.519093265595
2119115290229197568,223.87107169203,222.238702416163,225.527164501019
2101317839111655424,295.79886797478,293.345837626005,298.292525739803
2101141023898417920,259.549719692486,257.751261247595,261.372998433288
2117257184298759424,433.093552355967,428.980414096679,437.284892296848
2077629170330851072,139.604160122074,138.550122508373,140.674067974438
2105455919840116096,582.95183538351,574.678903594535,591.46203018359
2101161742821561728,584.966313660447,576.098054563905,594.106813939259
2103508478587989504,241.036857182009,238.939575069891,243.17061439885
2085660209419178496,188.814383859605,182.83572478307,195.189870140986
2136136967178617216,476.858101330648,471.053869592521,482.804527568708
2105841848421613568,224.787633814365,223.050887710516,226.551148077782
2101352439367659904,217.765899686565,214.475251456511,221.157235056987
2052171078106937728,180.047718970443,179.070136931169,181.035841206423
2076294397581835136,254.536447978444,250.546630851726,258.653049736985
2105159257858400640,354.984667838942,351.577502278833,358.457315095619
2100382189073830528,494.665556977779,464.050015806101,529.522722362535
2133045380999412608,591.134369761579,583.284687937228,599.194312367056
2102450954560072320,233.911972241126,232.235328523945,235.612563577197
2126627978307068672,321.472917470688,317.860096187438,325.167308507588
2133256109274840448,353.925935306857,350.647729802761,357.264899606114
2126262042793757696,492.923451225221,487.522077225337,498.443664523268
2077414353248711168,226.461827784137,224.131756280765,228.83997234128
2128261058011465088,175.451717536814,172.929087000109,178.047682110198
2125866188548442240,761.98189491859,746.828779128639,777.751092763516
2100727362705844608,472.043328346678,466.781734547713,477.422720830381
2129216847153832576,226.570783763558,225.319657760105,227.835631399241
2130641367544915584,406.086139572573,401.350925199425,410.932374059907
2128924750717810560,361.151384037083,355.012407803102,367.502467571919
2079411684837733376,629.923311775453,618.925062625937,641.312242764829
2104055760501638016,587.76713557741,575.205881946328,600.878880067927
2107207888539182464,282.175747324215,279.490230309779,284.912433887595
2105176094130309120,993.330643516485,967.971650079561,1020.02818533587
2135406788381171328,581.659839420432,572.734807851216,590.86227825926
2102822898727875968,374.452233962941,371.094560763604,377.870117890828
2102561730358498048,476.193959555662,464.602439343349,488.367686706766
2077186823061026688,96.8711375490972,96.4821022396374,97.2632666642026
2079735628451463296,1866.05419651987,1745.4113993142,2004.20187305421
2101750806176118272,357.074434926379,351.740177685135,362.569989732715
2132690273103943296,546.076644215781,538.307586276731,554.069089764765
2077747333469959168,928.952108024118,904.41632341393,954.830724423781
2127965946519825664,817.663458155128,803.408280279807,832.424188626124
2104067683330612992,82.8018088195065,82.5913361732959,83.0133377777867
2079112926916521472,651.035466138791,639.437469094933,663.054132704413
2099949359449611648,296.193741808344,293.656653503418,298.774255299723
2051765044774262656,460.34784261519,453.809096679281,467.074300079154
2075352803312372224,391.819751503071,385.93657262837,397.88176677788
2131298291383139712,291.298882360162,288.925166346537,293.711217429108
2101003000830222336,434.267249403452,428.267969616553,440.433899190629
2102227135227203968,282.247439144449,279.97867548071,284.552605788656
2129553606948677120,599.332387901574,590.427573357294,608.504939514096
2086732572553136896,589.379688373297,578.252345903884,600.935678758402
2099729349754501888,290.486055666498,288.098875738611,292.912408859424
2077577115326313472,380.880647150161,376.667258663942,385.187641709427
2052869611580098688,541.178579092782,531.438114124268,551.276110691129
2099631394432060416,321.174916790274,318.563427233251,323.828800199415
2079919315611727616,753.416011757718,738.183255008006,769.278855298335
2085638116106993408,384.689727753645,378.860633761676,390.697687252135
2076143588378412416,327.039704064896,324.110095309101,330.021795048608
2085638116106991872,376.429222362894,371.695204539922,381.28317285341
2051728490311183744,547.117106264667,535.997662270272,558.699048472257
2103507894472422656,311.650670508792,308.9914182984,314.355261317156
2101290316961062400,335.749513113855,331.237286508456,340.384110652163
2129162799284981760,485.795395877119,478.718728562602,493.080555986296
2076372669064227200,143.266948083662,142.59154490081,143.94866508398
2117284053614333312,641.029617229135,621.919910626924,661.328015894773
2117267079903573504,53.7738365747513,53.6508736699958,53.8973543593231
2102821524341578496,948.76650655514,924.29038468176,974.549008379324
2116742544137540608,545.954282342101,516.819773786676,578.502581535217
2105998150870718080,751.476917005421,735.000815376891,768.694554141662
2129676443013218304,400.926312809394,395.619176599306,406.375153211787
2128576003674178688,262.761110578283,261.121186033665,264.421392272191
