Object,BJD_TDB,RV,RVerr,Teff,Teff_err,logg,logg_err,monh,monh_err,vsini,vsini_err,CCF,SNRe,n_aps,exptime,spectro,res,method
BD+36_3564,2457674.606693,-77.842,0.051,4300.66,50,2.064,0.100,-0.345,0.080,5.14,0.50,0.9805,71.8,3,250.0,tres,m,SPC2.9
BD+39_3577,2457670.590090,-14.809,0.070,5079.32,50,2.995,0.100,-0.114,0.080,3.98,0.50,0.9886,92.8,3,220.0,tres,m,SPC2.9
BD+42_3150,2458377.631807,-26.519,0.065,4775.74,50,2.480,0.100,-0.194,0.080,4.22,0.50,0.9885,90.4,3,350.0,tres,m,SPC2.9
BD+42_3367,2457675.581459,-11.290,0.165,4057.12,50,2.011,0.100,-0.134,0.080,7.04,0.50,0.9642,78.2,3,180.0,tres,m,SPC2.9
BD+42_3393,2457675.584472,22.165,0.117,4100.16,50,1.917,0.100,-0.214,0.080,6.70,0.50,0.9700,69.5,3,200.0,tres,m,SPC2.9
BD+43_3064,2457670.597634,-13.649,0.063,4266.04,50,2.031,0.100,-0.206,0.080,5.17,0.50,0.9791,69.2,3,250.0,tres,m,SPC2.9
BD+43_3171,2457671.586446,-16.325,0.108,4071.77,50,2.025,0.100,-0.167,0.080,5.68,0.50,0.9717,68.6,3,250.0,tres,m,SPC2.9
BD+43_3213,2457673.586228,-14.163,0.162,4131.24,50,2.074,0.100,0.073,0.080,6.24,0.50,0.9716,57.3,3,220.0,tres,m,SPC2.9
BD+48_2904,2458384.778439,5.240,0.025,4484.32,50,2.250,0.100,-0.300,0.080,4.11,0.50,0.9838,59.8,3,240.0,tres,m,SPC2.9
BD+48_2955,2457676.593673,1.661,0.045,4344.00,50,2.106,0.100,-0.323,0.080,4.78,0.50,0.9742,31.7,3,45.0,tres,m,SPC2.9
HD_174020,2457670.580448,-14.835,0.077,4161.69,50,1.973,0.100,-0.100,0.080,5.81,0.50,0.9770,120.1,3,200.0,tres,m,SPC2.9
HD_174676,2457670.593810,-33.975,0.631,4057.85,50,2.640,0.100,-0.023,0.080,9.12,0.50,0.9343,72.5,3,220.0,tres,m,SPC2.9
HD_174829,2457670.583663,10.154,0.032,4481.68,50,2.060,0.100,-0.401,0.080,4.41,0.50,0.9829,112.2,3,150.0,tres,m,SPC2.9
HD_175740,2456140.797579,-8.825,0.046,4973.00,50,2.973,0.100,-0.046,0.080,3.66,0.50,0.9892,264.0,3,120.0,tres,m,SPC2.9
HD_175740,2456207.583512,-8.906,0.041,4973.51,50,2.962,0.100,-0.050,0.080,3.64,0.50,0.9896,142.5,3,30.0,tres,m,SPC2.9
HD_175740,2457295.578736,-8.898,0.038,4944.99,50,2.877,0.100,-0.072,0.080,3.75,0.50,0.9899,160.8,3,45.0,tres,m,SPC2.9
HD_175740,2457594.640684,-8.853,0.043,4967.19,50,2.935,0.100,-0.058,0.080,3.79,0.50,0.9897,171.2,3,80.0,tres,m,SPC2.9
HD_175740,2457647.604237,-8.807,0.038,4965.16,50,2.947,0.100,-0.049,0.080,3.63,0.50,0.9893,169.3,3,60.0,tres,m,SPC2.9
HD_175884,2457647.606298,-34.390,0.065,4466.09,50,2.221,0.100,-0.270,0.080,4.46,0.50,0.9835,144.4,3,120.0,tres,m,SPC2.9
HD_176466,2457670.586464,-22.886,13.903,7117.67,78,2.485,0.132,-0.349,0.080,200.00,0.50,0.8691,143.2,3,120.0,tres,m,SPC2.9
HD_176209,2458378.633415,-12.906,0.930,8097.02,71,2.580,0.122,-0.083,0.080,49.84,0.50,0.8807,98.1,3,300.0,tres,m,SPC2.9
HD_178797,2457671.572265,6.353,0.050,4405.66,50,2.212,0.100,-0.369,0.080,4.18,0.50,0.9819,77.1,3,90.0,tres,m,SPC2.9
HD_178910,2457671.579390,-14.282,0.047,4589.33,50,2.465,0.100,0.144,0.080,4.26,0.50,0.9827,76.9,3,150.0,tres,m,SPC2.9
HD_179394,2457671.577065,47.220,99.999,5743.23,223,1.918,0.350,0.505,0.200,91.97,2.51,0.5665,106.0,3,100.0,tres,m,SPC2.9
HD_179396,2457671.582185,24.805,0.045,4780.67,50,2.507,0.100,-0.208,0.080,3.99,0.50,0.9879,82.7,3,150.0,tres,m,SPC2.9
HD_179959,2457671.568438,-38.525,0.090,4965.38,50,2.187,0.100,-0.235,0.080,7.81,0.50,0.9868,129.3,3,75.0,tres,m,SPC2.9
HD_180312,2457672.586507,-21.941,0.046,4915.68,50,2.549,0.100,-0.444,0.080,4.05,0.50,0.9892,73.5,3,200.0,tres,m,SPC2.9
HD_180312,2457672.586507,-21.941,0.051,4910.20,50,2.536,0.100,-0.459,0.080,4.10,0.50,0.9846,73.5,3,200.0,tres,m,SPC2.9
HD_180475,2457672.583247,-45.895,0.078,4397.70,50,2.151,0.100,-0.442,0.080,4.39,0.50,0.9805,58.4,3,150.0,tres,m,SPC2.9
HD_180658,2457672.589737,2.966,0.057,4802.00,50,2.566,0.100,-0.125,0.080,3.81,0.50,0.9890,72.3,3,220.0,tres,m,SPC2.9
HD_180682,2457672.569455,30.986,0.066,4409.94,50,2.141,0.100,-0.507,0.080,4.88,0.50,0.9823,80.1,3,80.0,tres,m,SPC2.9
HD_181022,2457647.609269,-80.388,0.160,4044.81,50,2.058,0.100,-0.277,0.080,5.75,0.50,0.9674,108.8,3,120.0,tres,m,SPC2.9
HD_181069,2457672.567643,9.988,0.050,4841.75,50,2.698,0.100,-0.048,0.080,3.53,0.50,0.9880,90.0,3,75.0,tres,m,SPC2.9
HD_181097,2457672.593496,-5.603,0.082,4519.56,50,2.308,0.100,-0.284,0.080,4.08,0.50,0.9809,69.7,3,220.0,tres,m,SPC2.9
HD_181328,2457672.579477,-74.773,0.467,4047.98,50,2.603,0.100,0.162,0.080,7.33,0.50,0.9378,67.3,3,120.0,tres,m,SPC2.9
HD_181596,2457672.572601,-32.446,0.059,4142.45,50,1.929,0.100,-0.177,0.080,6.11,0.50,0.9734,68.7,3,120.0,tres,m,SPC2.9
HD_181597,2457647.611775,-13.062,0.042,4751.04,50,2.673,0.100,-0.234,0.080,2.23,0.50,0.9883,161.8,3,120.0,tres,m,SPC2.9
HD_181681,2457673.576438,-19.744,0.098,4169.71,50,1.932,0.100,-0.109,0.080,6.07,0.50,0.9756,90.6,3,150.0,tres,m,SPC2.9
HD_181778,2457673.579208,-22.038,0.064,4663.56,50,2.341,0.100,-0.188,0.080,4.23,0.50,0.9868,87.6,3,180.0,tres,m,SPC2.9
HD_181878,2457674.587503,10.572,0.051,5318.89,50,2.720,0.100,-0.342,0.080,6.98,0.50,0.9909,140.8,3,200.0,tres,m,SPC2.9
HD_181880,2457673.582136,0.563,0.081,4404.63,50,2.233,0.100,-0.305,0.080,4.44,0.50,0.9807,71.2,3,200.0,tres,m,SPC2.9
HD_182354,2458379.614475,-36.788,0.056,4697.05,50,2.290,0.100,-0.301,0.080,5.38,0.50,0.9878,166.5,3,200.0,tres,m,SPC2.9
HD_182531,2457674.602809,-7.337,0.052,4413.25,50,2.242,0.100,-0.238,0.080,4.39,0.50,0.9810,71.4,3,220.0,tres,m,SPC2.9
HD_182692,2457674.597781,-8.005,0.049,4965.14,50,3.061,0.100,0.093,0.080,3.40,0.50,0.9881,72.8,3,180.0,tres,m,SPC2.9
HD_182694,2457647.614393,-0.872,0.059,5177.65,50,2.984,0.100,-0.124,0.080,5.12,0.50,0.9907,187.2,3,90.0,tres,m,SPC2.9
HD_183124,2457674.590906,14.962,0.014,4911.36,50,2.855,0.100,-0.155,0.080,5.19,0.50,0.9894,114.3,3,150.0,tres,m,SPC2.9
HD_183203,2457674.593899,-43.944,0.238,4016.13,50,2.163,0.100,-0.061,0.080,6.99,0.50,0.9566,88.9,3,180.0,tres,m,SPC2.9
HD_184483,2457675.575956,-18.289,0.397,4082.58,50,2.568,0.100,0.129,0.080,7.57,0.50,0.9454,70.7,3,150.0,tres,m,SPC2.9
HD_184787,2457675.570223,-18.649,99.999,6180.36,194,3.575,0.306,0.500,0.176,170.59,1.97,0.6597,108.6,3,90.0,tres,m,SPC2.9
HD_185286,2457646.798915,-13.696,0.077,4301.04,50,2.084,0.100,-0.143,0.080,5.16,0.50,0.9802,135.6,3,120.0,tres,m,SPC2.9
HD_185351,2456056.994056,-5.179,0.039,5244.14,50,3.662,0.100,0.025,0.080,2.02,0.50,0.9915,202.3,3,90.0,tres,m,SPC2.9
HD_185351,2457363.552210,-5.161,0.043,5163.16,50,3.567,0.100,-0.027,0.080,2.42,0.50,0.9923,126.8,3,35.0,tres,m,SPC2.9
HD_185351,2457675.568433,-5.164,0.042,5160.52,50,3.571,0.100,-0.025,0.080,2.53,0.50,0.9921,156.4,3,60.0,tres,m,SPC2.9
HD_185524,2457675.588143,-35.505,0.234,4690.03,50,2.570,0.100,-0.270,0.080,14.25,0.50,0.9705,76.3,3,240.0,tres,m,SPC2.9
HD_186121,2457675.572255,-4.636,0.401,4079.16,50,2.443,0.100,0.095,0.080,7.93,0.50,0.9504,113.7,3,90.0,tres,m,SPC2.9
HD_186727,2457675.591789,-21.015,0.480,4064.77,50,2.603,0.100,0.160,0.080,7.98,0.50,0.9397,76.7,3,220.0,tres,m,SPC2.9
HD_187217,2457676.588110,1.642,0.053,4717.81,50,2.413,0.100,-0.165,0.080,8.25,0.50,0.9863,59.9,3,30.0,tres,m,SPC2.9
HD_187372,2457676.590755,3.860,0.213,4028.31,50,2.119,0.100,-0.075,0.080,7.06,0.50,0.9625,77.7,3,45.0,tres,m,SPC2.9
HD_188537,2457677.568327,-18.029,0.152,4960.57,50,2.411,0.100,-0.084,0.080,10.68,0.50,0.9849,67.0,3,135.0,tres,m,SPC2.9
HD_188629,2457677.572408,10.967,0.084,4227.17,50,2.008,0.100,-0.100,0.080,5.53,0.50,0.9762,51.3,3,180.0,tres,m,SPC2.9
HD_188875,2457646.802336,-13.706,0.079,4472.76,50,1.949,0.100,-0.172,0.080,7.07,0.50,0.9809,143.2,3,120.0,tres,m,SPC2.9
HD_188875,2457677.575731,-13.722,0.061,4467.04,50,1.936,0.100,-0.187,0.080,7.08,0.50,0.9803,78.3,3,70.0,tres,m,SPC2.9
HD_189750,2458384.795003,-62.645,0.061,4814.07,50,2.460,0.100,-0.344,0.080,4.15,0.50,0.9857,100.8,3,360.0,tres,m,SPC2.9
HD_190149,2457677.583546,-28.262,0.184,4030.96,50,2.060,0.100,-0.093,0.080,6.69,0.50,0.9643,104.6,3,180.0,tres,m,SPC2.9
HD_226754,2457677.579291,18.655,0.102,4370.17,50,2.363,0.100,0.081,0.080,4.78,0.50,0.9795,62.5,3,240.0,tres,m,SPC2.9
V398_Lyr,2457671.570308,68.565,39.733,4114.40,73,3.457,0.125,0.500,0.080,77.89,0.50,0.8740,81.8,3,90.0,tres,m,SPC2.9
V546_Lyr,2457671.574686,-7.448,0.649,4053.32,50,2.669,0.100,0.195,0.080,9.32,0.50,0.9339,72.5,3,100.0,tres,m,SPC2.9
V547_Lyr,2457671.566258,-5.513,1.383,4055.10,50,2.728,0.100,0.327,0.080,12.60,0.50,0.9219,130.0,3,90.0,tres,m,SPC2.9